
[detectors]
shape = (0,)
dtype = [('system_code', '<i4'), ('detector_index', '<i4'), ('x', '<f8'), ('y', '<f8'), ('z', '<f8'), ('label', 'O'), ('panel', '<i4')]
[]

[muon_truth]
shape = (100,)
dtype = [('event_id', '<i8'), ('pos_x', '<f4'), ('pos_y', '<f4'), ('pos_z', '<f4'), ('t0', '<f4'), ('dir_x', '<f4'), ('dir_y', '<f4'), ('dir_z', '<f4'), ('theta_deg', '<f4'), ('phi_deg', '<f4'), ('track_length_mm', '<f4'), ('n_generated', '<i4'), ('n_detected', '<i4'), ('n_generated_ckv', '<i4'), ('n_generated_sci', '<i4'), ('n_detected_ckv', '<i4'), ('n_detected_sci', '<i4')]
 (19,  -600., 0.,  600., 0., 0., 1., 0., 90., 90., 1470.9657, 22200, 0, 22200, 0, 0, 0)
 (20,  -600., 0.,  900., 0., 0., 1., 0., 90., 90., 1470.9657, 22200, 0, 22200, 0, 0, 0)
 (21,  -600., 0., 1200., 0., 0., 1., 0., 90., 90., 1470.9657, 22200, 0, 22200, 0, 0, 0)
 (22,  -600., 0., 1500., 0., 0., 1., 0., 90., 90., 1470.9657, 22200, 0, 22200, 0, 0, 0)
 (23,  -600., 0., 1800., 0., 0., 1., 0., 90., 90., 1470.9657, 22200, 0, 22200, 0, 0, 0)
 (24,  -600., 0., 2100., 0., 0., 1., 0., 90., 90., 1470.9657, 22200, 0, 22200, 0, 0, 0)
 (25,  -600., 0., 2400., 0., 0., 1., 0., 90., 90., 1470.9657, 22200, 0, 22200, 0, 0, 0)
 (26,  -600., 0., 2700., 0., 0., 1., 0., 90., 90., 1470.9657, 22200, 0, 22200, 0, 0, 0)
 (27,  -300., 0.,  300., 0., 0., 1., 0., 90., 90., 1568.8898, 23550, 0, 23550, 0, 0, 0)
 (28,  -300., 0.,  600., 0., 0., 1., 0., 90., 90., 1568.8898, 23550, 0, 23550, 0, 0, 0)
 (29,  -300., 0.,  900., 0., 0., 1., 0., 90., 90., 1568.8898, 23550, 0, 23550, 0, 0, 0)
 (30,  -300., 0., 1200., 0., 0., 1., 0., 90., 90., 1568.8898, 23550, 0, 23550, 0, 0, 0)
 (31,  -300., 0., 1500., 0., 0., 1., 0., 90., 90., 1568.8898, 23550, 0, 23550, 0, 0, 0)
 (32,  -300., 0., 1800., 0., 0., 1., 0., 90., 90., 1568.8898, 23550, 0, 23550, 0, 0, 0)
 (33,  -300., 0., 2100., 0., 0., 1., 0., 90., 90., 1568.8898, 23550, 0, 23550, 0, 0, 0)
 (34,  -300., 0., 2400., 0., 0., 1., 0., 90., 90., 1568.8898, 23550, 0, 23550, 0, 0, 0)
 (35,  -300., 0., 2700., 0., 0., 1., 0., 90., 90., 1568.8898, 23550, 0, 23550, 0, 0, 0)
 (36,     0., 0.,  300., 0., 0., 1., 0., 90., 90., 1600.2   , 24150, 0, 24150, 0, 0, 0)
 (37,     0., 0.,  600., 0., 0., 1., 0., 90., 90., 1600.2   , 24150, 0, 24150, 0, 0, 0)
 (38,     0., 0.,  900., 0., 0., 1., 0., 90., 90., 1600.2   , 24150, 0, 24150, 0, 0, 0)
 (39,     0., 0., 1200., 0., 0., 1., 0., 90., 90., 1600.2   , 24150, 0, 24150, 0, 0, 0)
 (40,     0., 0., 1500., 0., 0., 1., 0., 90., 90., 1600.2   , 24150, 0, 24150, 0, 0, 0)
 (41,     0., 0., 1800., 0., 0., 1., 0., 90., 90., 1600.2   , 24150, 0, 24150, 0, 0, 0)
 (42,     0., 0., 2100., 0., 0., 1., 0., 90., 90., 1600.2   , 24150, 0, 24150, 0, 0, 0)
 (43,     0., 0., 2400., 0., 0., 1., 0., 90., 90., 1600.2   , 24150, 0, 24150, 0, 0, 0)
 (44,     0., 0., 2700., 0., 0., 1., 0., 90., 90., 1600.2   , 24150, 0, 24150, 0, 0, 0)
 (45,   300., 0.,  300., 0., 0., 1., 0., 90., 90., 1568.8898, 23550, 0, 23550, 0, 0, 0)
 (46,   300., 0.,  600., 0., 0., 1., 0., 90., 90., 1568.8898, 23550, 0, 23550, 0, 0, 0)
